['./data_Aug/CT/100.jpg' './data_Aug/Label/100.jpg']
['./data_Aug/CT/673.jpg' './data_Aug/Label/673.jpg']
['./data_Aug/CT/618.jpg' './data_Aug/Label/618.jpg']
['./data_Aug/CT/537.jpg' './data_Aug/Label/537.jpg']
['./data_Aug/CT/520.jpg' './data_Aug/Label/520.jpg']
['./data_Aug/CT/210.jpg' './data_Aug/Label/210.jpg']
['./data_Aug/CT/749.jpg' './data_Aug/Label/749.jpg']
['./data_Aug/CT/82.jpg' './data_Aug/Label/82.jpg']
['./data_Aug/CT/156.jpg' './data_Aug/Label/156.jpg']
['./data_Aug/CT/173.jpg' './data_Aug/Label/173.jpg']
['./data_Aug/CT/177.jpg' './data_Aug/Label/177.jpg']
['./data_Aug/CT/828.jpg' './data_Aug/Label/828.jpg']
['./data_Aug/CT/608.jpg' './data_Aug/Label/608.jpg']
['./data_Aug/CT/907.jpg' './data_Aug/Label/907.jpg']
['./data_Aug/CT/782.jpg' './data_Aug/Label/782.jpg']
['./data_Aug/CT/326.jpg' './data_Aug/Label/326.jpg']
['./data_Aug/CT/517.jpg' './data_Aug/Label/517.jpg']
['./data_Aug/CT/620.jpg' './data_Aug/Label/620.jpg']
['./data_Aug/CT/881.jpg' './data_Aug/Label/881.jpg']
['./data_Aug/CT/395.jpg' './data_Aug/Label/395.jpg']
['./data_Aug/CT/645.jpg' './data_Aug/Label/645.jpg']
['./data_Aug/CT/162.jpg' './data_Aug/Label/162.jpg']
['./data_Aug/CT/311.jpg' './data_Aug/Label/311.jpg']
['./data_Aug/CT/391.jpg' './data_Aug/Label/391.jpg']
['./data_Aug/CT/376.jpg' './data_Aug/Label/376.jpg']
['./data_Aug/CT/416.jpg' './data_Aug/Label/416.jpg']
['./data_Aug/CT/20.jpg' './data_Aug/Label/20.jpg']
['./data_Aug/CT/738.jpg' './data_Aug/Label/738.jpg']
['./data_Aug/CT/486.jpg' './data_Aug/Label/486.jpg']
['./data_Aug/CT/988.jpg' './data_Aug/Label/988.jpg']
['./data_Aug/CT/707.jpg' './data_Aug/Label/707.jpg']
['./data_Aug/CT/88.jpg' './data_Aug/Label/88.jpg']
['./data_Aug/CT/802.jpg' './data_Aug/Label/802.jpg']
['./data_Aug/CT/121.jpg' './data_Aug/Label/121.jpg']
['./data_Aug/CT/827.jpg' './data_Aug/Label/827.jpg']
['./data_Aug/CT/185.jpg' './data_Aug/Label/185.jpg']
['./data_Aug/CT/857.jpg' './data_Aug/Label/857.jpg']
['./data_Aug/CT/433.jpg' './data_Aug/Label/433.jpg']
['./data_Aug/CT/846.jpg' './data_Aug/Label/846.jpg']
['./data_Aug/CT/515.jpg' './data_Aug/Label/515.jpg']
['./data_Aug/CT/877.jpg' './data_Aug/Label/877.jpg']
['./data_Aug/CT/290.jpg' './data_Aug/Label/290.jpg']
['./data_Aug/CT/5.jpg' './data_Aug/Label/5.jpg']
['./data_Aug/CT/512.jpg' './data_Aug/Label/512.jpg']
['./data_Aug/CT/159.jpg' './data_Aug/Label/159.jpg']
['./data_Aug/CT/35.jpg' './data_Aug/Label/35.jpg']
['./data_Aug/CT/508.jpg' './data_Aug/Label/508.jpg']
['./data_Aug/CT/285.jpg' './data_Aug/Label/285.jpg']
['./data_Aug/CT/199.jpg' './data_Aug/Label/199.jpg']
['./data_Aug/CT/402.jpg' './data_Aug/Label/402.jpg']
['./data_Aug/CT/470.jpg' './data_Aug/Label/470.jpg']
['./data_Aug/CT/438.jpg' './data_Aug/Label/438.jpg']
['./data_Aug/CT/232.jpg' './data_Aug/Label/232.jpg']
['./data_Aug/CT/403.jpg' './data_Aug/Label/403.jpg']
['./data_Aug/CT/773.jpg' './data_Aug/Label/773.jpg']
['./data_Aug/CT/592.jpg' './data_Aug/Label/592.jpg']
['./data_Aug/CT/85.jpg' './data_Aug/Label/85.jpg']
['./data_Aug/CT/379.jpg' './data_Aug/Label/379.jpg']
['./data_Aug/CT/44.jpg' './data_Aug/Label/44.jpg']
['./data_Aug/CT/822.jpg' './data_Aug/Label/822.jpg']
['./data_Aug/CT/104.jpg' './data_Aug/Label/104.jpg']
['./data_Aug/CT/119.jpg' './data_Aug/Label/119.jpg']
['./data_Aug/CT/467.jpg' './data_Aug/Label/467.jpg']
['./data_Aug/CT/59.jpg' './data_Aug/Label/59.jpg']
['./data_Aug/CT/717.jpg' './data_Aug/Label/717.jpg']
['./data_Aug/CT/283.jpg' './data_Aug/Label/283.jpg']
['./data_Aug/CT/16.jpg' './data_Aug/Label/16.jpg']
['./data_Aug/CT/101.jpg' './data_Aug/Label/101.jpg']
['./data_Aug/CT/595.jpg' './data_Aug/Label/595.jpg']
['./data_Aug/CT/26.jpg' './data_Aug/Label/26.jpg']
['./data_Aug/CT/700.jpg' './data_Aug/Label/700.jpg']
['./data_Aug/CT/598.jpg' './data_Aug/Label/598.jpg']
['./data_Aug/CT/25.jpg' './data_Aug/Label/25.jpg']
['./data_Aug/CT/138.jpg' './data_Aug/Label/138.jpg']
['./data_Aug/CT/447.jpg' './data_Aug/Label/447.jpg']
['./data_Aug/CT/709.jpg' './data_Aug/Label/709.jpg']
['./data_Aug/CT/188.jpg' './data_Aug/Label/188.jpg']
['./data_Aug/CT/634.jpg' './data_Aug/Label/634.jpg']
['./data_Aug/CT/287.jpg' './data_Aug/Label/287.jpg']
['./data_Aug/CT/775.jpg' './data_Aug/Label/775.jpg']
['./data_Aug/CT/582.jpg' './data_Aug/Label/582.jpg']
['./data_Aug/CT/958.jpg' './data_Aug/Label/958.jpg']
['./data_Aug/CT/956.jpg' './data_Aug/Label/956.jpg']
['./data_Aug/CT/762.jpg' './data_Aug/Label/762.jpg']
['./data_Aug/CT/945.jpg' './data_Aug/Label/945.jpg']
['./data_Aug/CT/895.jpg' './data_Aug/Label/895.jpg']
['./data_Aug/CT/867.jpg' './data_Aug/Label/867.jpg']
['./data_Aug/CT/482.jpg' './data_Aug/Label/482.jpg']
['./data_Aug/CT/625.jpg' './data_Aug/Label/625.jpg']
['./data_Aug/CT/985.jpg' './data_Aug/Label/985.jpg']
['./data_Aug/CT/72.jpg' './data_Aug/Label/72.jpg']
['./data_Aug/CT/550.jpg' './data_Aug/Label/550.jpg']
['./data_Aug/CT/149.jpg' './data_Aug/Label/149.jpg']
['./data_Aug/CT/686.jpg' './data_Aug/Label/686.jpg']
['./data_Aug/CT/108.jpg' './data_Aug/Label/108.jpg']
['./data_Aug/CT/830.jpg' './data_Aug/Label/830.jpg']
['./data_Aug/CT/669.jpg' './data_Aug/Label/669.jpg']
['./data_Aug/CT/48.jpg' './data_Aug/Label/48.jpg']
['./data_Aug/CT/126.jpg' './data_Aug/Label/126.jpg']
['./data_Aug/CT/313.jpg' './data_Aug/Label/313.jpg']
['./data_Aug/CT/150.jpg' './data_Aug/Label/150.jpg']
['./data_Aug/CT/246.jpg' './data_Aug/Label/246.jpg']
['./data_Aug/CT/983.jpg' './data_Aug/Label/983.jpg']
['./data_Aug/CT/53.jpg' './data_Aug/Label/53.jpg']
['./data_Aug/CT/774.jpg' './data_Aug/Label/774.jpg']
['./data_Aug/CT/74.jpg' './data_Aug/Label/74.jpg']
['./data_Aug/CT/953.jpg' './data_Aug/Label/953.jpg']
['./data_Aug/CT/414.jpg' './data_Aug/Label/414.jpg']
['./data_Aug/CT/223.jpg' './data_Aug/Label/223.jpg']
['./data_Aug/CT/584.jpg' './data_Aug/Label/584.jpg']
['./data_Aug/CT/219.jpg' './data_Aug/Label/219.jpg']
['./data_Aug/CT/866.jpg' './data_Aug/Label/866.jpg']
['./data_Aug/CT/356.jpg' './data_Aug/Label/356.jpg']
['./data_Aug/CT/493.jpg' './data_Aug/Label/493.jpg']
['./data_Aug/CT/170.jpg' './data_Aug/Label/170.jpg']
['./data_Aug/CT/554.jpg' './data_Aug/Label/554.jpg']
['./data_Aug/CT/42.jpg' './data_Aug/Label/42.jpg']
['./data_Aug/CT/817.jpg' './data_Aug/Label/817.jpg']
['./data_Aug/CT/785.jpg' './data_Aug/Label/785.jpg']
['./data_Aug/CT/847.jpg' './data_Aug/Label/847.jpg']
['./data_Aug/CT/279.jpg' './data_Aug/Label/279.jpg']
['./data_Aug/CT/419.jpg' './data_Aug/Label/419.jpg']
['./data_Aug/CT/831.jpg' './data_Aug/Label/831.jpg']
['./data_Aug/CT/211.jpg' './data_Aug/Label/211.jpg']
['./data_Aug/CT/133.jpg' './data_Aug/Label/133.jpg']
['./data_Aug/CT/24.jpg' './data_Aug/Label/24.jpg']
['./data_Aug/CT/339.jpg' './data_Aug/Label/339.jpg']
['./data_Aug/CT/384.jpg' './data_Aug/Label/384.jpg']
['./data_Aug/CT/288.jpg' './data_Aug/Label/288.jpg']
['./data_Aug/CT/987.jpg' './data_Aug/Label/987.jpg']
['./data_Aug/CT/298.jpg' './data_Aug/Label/298.jpg']
['./data_Aug/CT/672.jpg' './data_Aug/Label/672.jpg']
['./data_Aug/CT/919.jpg' './data_Aug/Label/919.jpg']
['./data_Aug/CT/768.jpg' './data_Aug/Label/768.jpg']
['./data_Aug/CT/754.jpg' './data_Aug/Label/754.jpg']
['./data_Aug/CT/787.jpg' './data_Aug/Label/787.jpg']
['./data_Aug/CT/701.jpg' './data_Aug/Label/701.jpg']
['./data_Aug/CT/776.jpg' './data_Aug/Label/776.jpg']
['./data_Aug/CT/536.jpg' './data_Aug/Label/536.jpg']
['./data_Aug/CT/781.jpg' './data_Aug/Label/781.jpg']
['./data_Aug/CT/523.jpg' './data_Aug/Label/523.jpg']
['./data_Aug/CT/599.jpg' './data_Aug/Label/599.jpg']
['./data_Aug/CT/260.jpg' './data_Aug/Label/260.jpg']
['./data_Aug/CT/563.jpg' './data_Aug/Label/563.jpg']
['./data_Aug/CT/19.jpg' './data_Aug/Label/19.jpg']
['./data_Aug/CT/58.jpg' './data_Aug/Label/58.jpg']
['./data_Aug/CT/128.jpg' './data_Aug/Label/128.jpg']
['./data_Aug/CT/316.jpg' './data_Aug/Label/316.jpg']
['./data_Aug/CT/767.jpg' './data_Aug/Label/767.jpg']
['./data_Aug/CT/375.jpg' './data_Aug/Label/375.jpg']
['./data_Aug/CT/770.jpg' './data_Aug/Label/770.jpg']
['./data_Aug/CT/976.jpg' './data_Aug/Label/976.jpg']
['./data_Aug/CT/668.jpg' './data_Aug/Label/668.jpg']
['./data_Aug/CT/497.jpg' './data_Aug/Label/497.jpg']
['./data_Aug/CT/181.jpg' './data_Aug/Label/181.jpg']
['./data_Aug/CT/354.jpg' './data_Aug/Label/354.jpg']
['./data_Aug/CT/748.jpg' './data_Aug/Label/748.jpg']
['./data_Aug/CT/324.jpg' './data_Aug/Label/324.jpg']
['./data_Aug/CT/15.jpg' './data_Aug/Label/15.jpg']
['./data_Aug/CT/711.jpg' './data_Aug/Label/711.jpg']
['./data_Aug/CT/597.jpg' './data_Aug/Label/597.jpg']
['./data_Aug/CT/425.jpg' './data_Aug/Label/425.jpg']
['./data_Aug/CT/765.jpg' './data_Aug/Label/765.jpg']
['./data_Aug/CT/990.jpg' './data_Aug/Label/990.jpg']
['./data_Aug/CT/906.jpg' './data_Aug/Label/906.jpg']
['./data_Aug/CT/236.jpg' './data_Aug/Label/236.jpg']
['./data_Aug/CT/456.jpg' './data_Aug/Label/456.jpg']
['./data_Aug/CT/811.jpg' './data_Aug/Label/811.jpg']
['./data_Aug/CT/297.jpg' './data_Aug/Label/297.jpg']
['./data_Aug/CT/565.jpg' './data_Aug/Label/565.jpg']
['./data_Aug/CT/269.jpg' './data_Aug/Label/269.jpg']
['./data_Aug/CT/521.jpg' './data_Aug/Label/521.jpg']
['./data_Aug/CT/222.jpg' './data_Aug/Label/222.jpg']
['./data_Aug/CT/318.jpg' './data_Aug/Label/318.jpg']
['./data_Aug/CT/991.jpg' './data_Aug/Label/991.jpg']
['./data_Aug/CT/741.jpg' './data_Aug/Label/741.jpg']
['./data_Aug/CT/251.jpg' './data_Aug/Label/251.jpg']
['./data_Aug/CT/850.jpg' './data_Aug/Label/850.jpg']
['./data_Aug/CT/783.jpg' './data_Aug/Label/783.jpg']
